well,channel,z-slice,SNR
G8-1,405,0,2.4714190328558625
G8-1,405,1,1.9578937135689816
G8-1,405,2,1.6873724825188445
G8-1,405,3,1.605053302576697
G8-1,405,4,1.5910903200899906
G8-1,405,5,1.5695523773113251
G8-1,405,6,1.526571430201801
G8-1,405,7,1.4966185473172535
G8-1,405,8,1.5064415572074654
G8-1,405,9,1.5252870652010788
G8-1,405,10,1.5512100373767095
G8-1,405,11,1.5699903772463917
G8-1,405,12,1.563802772107926
G8-1,405,13,1.5864276690591534
G8-1,405,14,1.6462418927183096
G8-1,405,15,1.679776193762077
G8-1,405,16,1.671578153390487
G8-1,405,17,1.6482706918222871
G8-1,405,18,1.6307752278359164
G8-1,405,19,1.6216789433400494
G8-1,405,20,1.6233721869486688
G8-1,405,21,1.6295412720695195
G8-1,405,22,1.645308914308063
G8-1,405,23,1.6631736248679398
G8-1,405,24,1.6843042982822014
G8-1,405,25,1.7005758004923224
G8-1,405,26,1.719696705641175
G8-1,405,27,1.7405561923998503
G8-1,405,28,1.7604568003407328
G8-1,405,29,1.7789937333060157
G8-1,405,30,1.7950926000743157
G8-1,405,31,1.808479361807034
G8-1,405,32,1.8208959040934904
G8-1,405,33,1.839272181447237
G8-1,405,34,1.8659938661136903
G8-1,405,35,1.9043913455783508
G8-1,405,36,1.9553215664001058
G8-1,405,37,2.0191511112856646
G8-1,405,38,2.0875268722504274
G8-1,405,39,2.1629087263572973
G8-1,405,40,2.2326663184061983
G8-1,640,0,2.677749443989201
G8-1,640,1,2.011494090012865
G8-1,640,2,1.7638691129517108
G8-1,640,3,1.6994179060815149
G8-1,640,4,1.6940120173854465
G8-1,640,5,1.729477451656748
G8-1,640,6,1.7705005177056354
G8-1,640,7,1.7943126308282604
G8-1,640,8,1.7927046075270294
G8-1,640,9,1.7872541124164139
G8-1,640,10,1.7878211202988452
G8-1,640,11,1.7778443585675772
G8-1,640,12,1.767876557288281
G8-1,640,13,1.756651619391245
G8-1,640,14,1.7475497549859638
G8-1,640,15,1.7332882162206216
G8-1,640,16,1.7241469001828071
G8-1,640,17,1.7262697532806595
G8-1,640,18,1.7286511023971949
G8-1,640,19,1.7343107532353328
G8-1,640,20,1.746789521983114
G8-1,640,21,1.7584773412998869
G8-1,640,22,1.774414549925144
G8-1,640,23,1.7909944288116342
G8-1,640,24,1.8096920032835684
G8-1,640,25,1.8282650277219605
G8-1,640,26,1.8475007526496783
