CMDLINE /home/lippincm/miniforge3/envs/GFF_featurization/bin/python3.12 granularity.py
MEM 0.375000 1742497212.8293
MEM 10.687500 1742497212.9301
MEM 22.312500 1742497213.0306
MEM 33.000000 1742497213.1324
MEM 39.605469 1742497213.2329
MEM 46.097656 1742497213.3357
MEM 48.535156 1742497213.4374
MEM 55.847656 1742497213.5383
MEM 71.035156 1742497213.6389
MEM 97.097656 1742497213.7404
MEM 108.160156 1742497213.8409
MEM 118.195312 1742497213.9415
MEM 124.570312 1742497214.0432
MEM 134.882812 1742497214.1439
MEM 138.257812 1742497214.2453
MEM 141.257812 1742497214.3465
MEM 141.257812 1742497214.4483
MEM 145.757812 1742497214.5491
MEM 150.632812 1742497214.6496
MEM 157.757812 1742497214.7516
MEM 160.945312 1742497214.8574
MEM 190.777344 1742497214.9585
MEM 257.035156 1742497215.0608
MEM 319.949219 1742497215.1615
MEM 372.414062 1742497215.2637
MEM 428.519531 1742497215.3669
MEM 467.601562 1742497215.4698
MEM 523.601562 1742497215.5706
MEM 593.703125 1742497215.6741
MEM 674.710938 1742497215.7766
MEM 724.710938 1742497215.8791
MEM 781.695312 1742497215.9802
MEM 839.695312 1742497216.0813
MEM 905.695312 1742497216.1820
MEM 970.679688 1742497216.2826
MEM 1037.171875 1742497216.3834
MEM 1091.664062 1742497216.4843
MEM 1156.164062 1742497216.5849
MEM 1230.164062 1742497216.6868
MEM 1289.148438 1742497216.7895
MEM 1359.523438 1742497216.8907
MEM 1359.523438 1742497216.9915
MEM 1359.523438 1742497217.0922
MEM 1359.523438 1742497217.1942
MEM 1359.523438 1742497217.2953
MEM 1359.523438 1742497217.3960
MEM 1359.523438 1742497217.4971
MEM 1359.523438 1742497217.5980
MEM 1359.523438 1742497217.6999
MEM 1359.523438 1742497217.8028
MEM 1359.523438 1742497217.9036
MEM 1359.523438 1742497218.0058
MEM 1359.523438 1742497218.1086
MEM 1359.523438 1742497218.2097
MEM 1359.523438 1742497218.3110
MEM 1359.523438 1742497218.4167
MEM 1359.523438 1742497218.5183
MEM 1407.632812 1742497218.6227
MEM 1466.121094 1742497218.7246
MEM 1434.132812 1742497218.8296
MEM 1289.148438 1742497218.9312
MEM 1359.523438 1742497219.0335
MEM 1359.523438 1742497219.1343
MEM 1359.523438 1742497219.2388
MEM 1359.523438 1742497219.3396
MEM 1359.523438 1742497219.4406
MEM 1359.523438 1742497219.5423
MEM 1359.523438 1742497219.6435
MEM 1359.523438 1742497219.7459
MEM 1359.523438 1742497219.8476
MEM 1359.523438 1742497219.9490
MEM 1359.523438 1742497220.0495
MEM 1359.523438 1742497220.1505
MEM 1359.523438 1742497220.2523
MEM 1359.523438 1742497220.3533
MEM 1359.523438 1742497220.4539
MEM 1359.523438 1742497220.5575
MEM 1371.535156 1742497220.6607
MEM 1443.941406 1742497220.7628
MEM 1489.941406 1742497220.8660
MEM 1433.945312 1742497220.9666
MEM 1304.960938 1742497221.0681
MEM 1354.960938 1742497221.1703
MEM 1359.335938 1742497221.2712
MEM 1359.335938 1742497221.3729
MEM 1359.335938 1742497221.4745
MEM 1359.335938 1742497221.5774
MEM 1359.335938 1742497221.6796
MEM 1359.335938 1742497221.7803
MEM 1359.335938 1742497221.8836
MEM 1359.335938 1742497221.9845
MEM 1359.335938 1742497222.0864
MEM 1359.335938 1742497222.1874
MEM 1359.335938 1742497222.2882
MEM 1359.335938 1742497222.3916
MEM 1359.335938 1742497222.4945
MEM 1359.335938 1742497222.5956
MEM 1359.335938 1742497222.6965
MEM 1359.335938 1742497222.7987
MEM 1393.429688 1742497222.9003
MEM 1455.917969 1742497223.0022
MEM 1503.917969 1742497223.1051
MEM 1433.917969 1742497223.2074
MEM 1340.933594 1742497223.3084
MEM 1428.933594 1742497223.4128
MEM 1433.871094 1742497223.5134
MEM 1433.871094 1742497223.6160
MEM 1433.871094 1742497223.7168
MEM 1433.871094 1742497223.8178
MEM 1433.871094 1742497223.9194
MEM 1433.871094 1742497224.0209
MEM 1433.871094 1742497224.1215
MEM 1433.871094 1742497224.2222
MEM 1433.871094 1742497224.3231
MEM 1433.871094 1742497224.4238
MEM 1433.871094 1742497224.5254
MEM 1433.871094 1742497224.6265
MEM 1433.871094 1742497224.7321
MEM 1433.871094 1742497224.8327
MEM 1433.871094 1742497224.9349
MEM 1433.871094 1742497225.0363
MEM 1433.871094 1742497225.1395
MEM 1433.871094 1742497225.2414
MEM 1433.871094 1742497225.3441
MEM 1445.992188 1742497225.4452
MEM 1489.992188 1742497225.5461
MEM 1556.480469 1742497225.6474
MEM 1508.339844 1742497225.7484
MEM 1335.929688 1742497225.8492
MEM 1425.929688 1742497225.9503
MEM 1539.976562 1742497226.0528
MEM 1650.093750 1742497226.1546
MEM 1734.093750 1742497226.2554
MEM 1840.093750 1742497226.3588
MEM 1932.031250 1742497226.4601
MEM 2058.031250 1742497226.5612
MEM 2190.031250 1742497226.6622
MEM 2290.031250 1742497226.7687
MEM 2396.214844 1742497226.8747
MEM 2478.089844 1742497226.9784
MEM 2478.089844 1742497227.0796
MEM 2478.089844 1742497227.1822
MEM 2478.089844 1742497227.2833
MEM 2478.089844 1742497227.3855
MEM 2478.089844 1742497227.4867
MEM 2478.089844 1742497227.5873
MEM 2478.089844 1742497227.6882
MEM 2478.089844 1742497227.7930
MEM 2478.089844 1742497227.8936
MEM 2478.089844 1742497227.9949
MEM 2478.089844 1742497228.0961
MEM 2478.089844 1742497228.1983
MEM 2478.089844 1742497228.2994
MEM 2478.089844 1742497228.4005
MEM 2478.089844 1742497228.5018
MEM 2478.089844 1742497228.6026
MEM 2478.089844 1742497228.7062
MEM 2478.089844 1742497228.8075
MEM 2478.089844 1742497228.9121
MEM 2478.089844 1742497229.0137
MEM 2478.089844 1742497229.1144
MEM 2478.089844 1742497229.2165
MEM 2478.089844 1742497229.3174
MEM 1886.054688 1742497229.4200
MEM 1940.054688 1742497229.5209
MEM 2016.054688 1742497229.6251
MEM 2074.054688 1742497229.7257
MEM 2148.054688 1742497229.8269
MEM 2210.054688 1742497229.9275
MEM 2284.054688 1742497230.0301
MEM 2346.054688 1742497230.1314
MEM 2416.054688 1742497230.2360
MEM 2477.929688 1742497230.3416
MEM 2477.929688 1742497230.4423
MEM 2477.929688 1742497230.5442
MEM 2477.929688 1742497230.6475
MEM 2477.929688 1742497230.7523
MEM 2477.929688 1742497230.8531
