patient	well_fov	feature	compartment	channel	processor_type	subdir_input	subdir_mask	subdir_output
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_2	segmentation_masks	convolution_2_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_3	segmentation_masks	convolution_3_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_4	segmentation_masks	convolution_4_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_5	segmentation_masks	convolution_5_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_6	segmentation_masks	convolution_6_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_7	segmentation_masks	convolution_7_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_8	segmentation_masks	convolution_8_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_9	segmentation_masks	convolution_9_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_10	segmentation_masks	convolution_10_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_11	segmentation_masks	convolution_11_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_12	segmentation_masks	convolution_12_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_13	segmentation_masks	convolution_13_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_14	segmentation_masks	convolution_14_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_15	segmentation_masks	convolution_15_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_16	segmentation_masks	convolution_16_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_17	segmentation_masks	convolution_17_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_18	segmentation_masks	convolution_18_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_19	segmentation_masks	convolution_19_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_20	segmentation_masks	convolution_20_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_21	segmentation_masks	convolution_21_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_22	segmentation_masks	convolution_22_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_23	segmentation_masks	convolution_23_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_24	segmentation_masks	convolution_24_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_25	segmentation_masks	convolution_25_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_50	segmentation_masks	convolution_50_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_75	segmentation_masks	convolution_75_extracted_features
NF0014_T1	C4-2	Neighbors	Nuclei	DNA	CPU	convolution_100	segmentation_masks	convolution_100_extracted_features
