compartment,channel1,channel2
Cell,DNA,AGP
Cell,DNA,ER
Cell,DNA,Mito
Cell,DNA,BF
Cell,AGP,ER
Cell,AGP,Mito
Cell,AGP,BF
Cell,ER,Mito
Cell,ER,BF
Cell,Mito,BF
Cytoplasm,DNA,AGP
Cytoplasm,DNA,ER
Cytoplasm,DNA,Mito
Cytoplasm,DNA,BF
Cytoplasm,AGP,ER
Cytoplasm,AGP,Mito
Cytoplasm,AGP,BF
Cytoplasm,ER,Mito
Cytoplasm,ER,BF
Cytoplasm,Mito,BF
Nuclei,DNA,AGP
Nuclei,DNA,ER
Nuclei,DNA,Mito
Nuclei,DNA,BF
Nuclei,AGP,ER
Nuclei,AGP,Mito
Nuclei,AGP,BF
Nuclei,ER,Mito
Nuclei,ER,BF
Nuclei,Mito,BF
Organoid,DNA,AGP
Organoid,DNA,ER
Organoid,DNA,Mito
Organoid,DNA,BF
Organoid,AGP,ER
Organoid,AGP,Mito
Organoid,AGP,BF
Organoid,ER,Mito
Organoid,ER,BF
Organoid,Mito,BF
