patient	well_fov	compartment	channel	feature	processor_type	input_subparent_name	mask_subparent_name	output_features_subparent_name
NF0014_T1	C4-2	Nuclei	Mito	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cell	BF	Texture	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Nuclei	DNA.BF	Colocalization	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cytoplasm	DNA	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Organoid	ER	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cell	BF	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cell	BF	Intensity	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Nuclei	BF	Texture	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cytoplasm	AGP	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cell	AGP	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cytoplasm	ER	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Nuclei	ER.BF	Colocalization	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cytoplasm	DNA.BF	Colocalization	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Organoid	BF	Granularity	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Nuclei	DNA	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Nuclei	BF	Granularity	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cytoplasm	AGP.BF	Colocalization	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cell	ER.BF	Colocalization	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Organoid	Mito	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cell	DNA	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cytoplasm	BF	SAMMed3D	GPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Organoid	BF	Texture	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Cytoplasm	BF	Texture	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
NF0014_T1	C4-2	Nuclei	BF	Intensity	CPU	convolution_1	segmentation_masks	convolution_1_extracted_features
